date,timeframe_min,entry_time,exit_time,side,entry,exit,pnl_pts,exit_reason,or_high,or_low,or_range,vix_at_or,vix_bucket
2015-01-09,60,2015-01-09 11:23:00,2015-01-09 12:04:00,short,8273.95,8215.850000000002,58.099999999998545,TP,8303.0,8273.95,29.049999999999272,15.96,>15
2015-01-12,60,2015-01-12 10:17:00,2015-01-12 15:25:00,long,8292.7,8330.4,37.69999999999891,EOD,8292.7,8245.6,47.100000000000364,17.23,>15
2015-01-13,60,2015-01-13 12:43:00,2015-01-13 13:20:00,short,8322.0,8355.9,-33.899999999999636,SL,8355.9,8322.0,33.899999999999636,16.3,>15
2015-01-14,60,2015-01-14 11:15:00,2015-01-14 15:25:00,short,8286.85,8285.85,1.0,EOD,8326.3,8286.85,39.44999999999891,17.09,>15
2015-01-15,60,2015-01-15 11:39:00,2015-01-15 15:25:00,long,8452.65,8468.3,15.649999999999636,EOD,8452.65,8380.75,71.89999999999964,15.78,>15
2015-01-19,60,2015-01-19 10:25:00,2015-01-19 11:30:00,long,8565.8,8548.2,-17.599999999998545,SL,8565.8,8548.2,17.599999999998545,17.96,>15
2015-01-20,60,2015-01-20 10:15:00,2015-01-20 13:58:00,long,8599.2,8648.300000000003,49.10000000000218,TP,8599.2,8574.65,24.55000000000109,16.92,>15
2015-01-21,60,2015-01-21 11:03:00,2015-01-21 15:25:00,short,8699.9,8732.15,-32.25,EOD,8741.5,8699.9,41.600000000000364,17.59,>15
2015-01-22,60,2015-01-22 10:15:00,2015-01-22 14:02:00,long,8764.25,8735.0,-29.25,SL,8764.25,8735.0,29.25,17.91,>15
2015-01-23,60,2015-01-23 10:21:00,2015-01-23 15:25:00,short,8827.95,8830.35,-2.399999999999636,EOD,8866.15,8827.95,38.19999999999891,18.08,>15
2015-01-27,60,2015-01-27 11:57:00,2015-01-27 14:34:00,short,8826.0,8874.6,-48.600000000000364,SL,8874.7,8826.1,48.600000000000364,18.12,>15
2015-01-28,60,2015-01-28 11:04:00,2015-01-28 12:26:00,long,8918.15,8975.35,57.20000000000073,TP,8917.95,8889.35,28.600000000000364,18.62,>15
2015-01-29,60,2015-01-29 12:11:00,2015-01-29 15:25:00,long,8901.5,8950.55,49.04999999999927,EOD,8901.5,8861.65,39.850000000000364,19.65,>15
2015-01-30,60,2015-01-30 10:34:00,2015-01-30 15:25:00,short,8917.4,8808.6,108.79999999999927,EOD,8996.6,8917.4,79.20000000000073,20.66,>15
2015-02-02,60,2015-02-02 11:53:00,2015-02-02 13:37:00,short,8772.45,8807.8,-35.349999999998545,SL,8807.8,8772.45,35.349999999998545,21.19,>15
2015-02-03,60,2015-02-03 10:18:00,2015-02-03 15:25:00,short,8798.2,8744.05,54.150000000001455,EOD,8836.45,8798.2,38.25,20.35,>15
2015-02-04,60,2015-02-04 10:18:00,2015-02-04 15:25:00,short,8732.55,8706.8,25.75,EOD,8791.45,8732.55,58.900000000001455,19.9,>15
2015-02-05,60,2015-02-05 10:15:00,2015-02-05 15:15:00,long,8761.6,8705.75,-55.850000000000364,SL,8761.6,8705.75,55.850000000000364,20.26,>15
2015-02-06,60,2015-02-06 10:18:00,2015-02-06 15:25:00,short,8690.35,8668.1,22.25,EOD,8725.8,8690.35,35.44999999999891,20.92,>15
2015-02-09,60,2015-02-09 10:17:00,2015-02-09 15:25:00,short,8551.9,8528.1,23.799999999999272,EOD,8603.9,8551.95,51.94999999999891,21.56,>15
2015-02-10,60,2015-02-10 11:17:00,2015-02-10 15:25:00,long,8612.95,8573.95,-39.0,EOD,8612.95,8472.05,140.90000000000146,21.1,>15
2015-02-11,60,2015-02-11 10:19:00,2015-02-11 10:47:00,long,8619.95,8595.15,-24.80000000000109,SL,8619.95,8595.15,24.80000000000109,21.17,>15
2015-02-12,60,2015-02-12 10:18:00,2015-02-12 14:44:00,short,8623.2,8681.4,-58.19999999999891,SL,8681.4,8623.2,58.19999999999891,20.59,>15
2015-02-13,60,2015-02-13 11:58:00,2015-02-13 15:25:00,long,8766.55,8797.1,30.55000000000109,EOD,8766.55,8730.0,36.54999999999927,20.32,>15
2015-02-16,60,2015-02-16 11:23:00,2015-02-16 15:25:00,short,8825.4,8801.8,23.600000000000364,EOD,8869.95,8825.4,44.55000000000109,20.36,>15
2015-02-18,60,2015-02-18 10:27:00,2015-02-18 15:25:00,long,8851.5,8861.6,10.100000000000364,EOD,8851.5,8810.05,41.45000000000073,21.31,>15
2015-02-19,60,2015-02-19 10:36:00,2015-02-19 11:00:00,short,8879.25,8832.650000000001,46.599999999998545,TP,8902.55,8879.25,23.299999999999272,20.74,>15
2015-02-23,60,2015-02-23 11:22:00,2015-02-23 14:10:00,short,8838.9,8779.500000000002,59.39999999999782,TP,8868.9,8839.2,29.69999999999891,21.26,>15
2015-02-24,60,2015-02-24 10:30:00,2015-02-24 11:01:00,long,8777.05,8747.849999999999,-29.200000000000728,SL,8775.7,8746.5,29.200000000000728,21.72,>15
2015-02-25,60,2015-02-25 13:55:00,2015-02-25 15:25:00,short,8798.6,8765.65,32.95000000000073,EOD,8840.5,8798.6,41.899999999999636,21.2,>15
